1.56624,1576440,1.56624,1574650,1.56624,6137470,0,0,0,0,0,0,,
1.56587,1547490,1.56587,1548610,1.56587,6186620,0.425813,0,0.422874,0,0.425813,0,,
1.56551,1591280,1.56551,1562790,1.56551,6162590,0.851626,0,0.845748,0,0.851626,0,,
1.56514,1616800,1.56514,1573140,1.56514,6067660,1.27744,0,1.26862,0,1.27744,0,,
1.56478,1560140,1.56478,1535700,1.56478,5946060,1.70325,0,1.6915,0,1.70325,0,,
1.56441,1497990,1.56441,1487610,1.56441,5807720,2.12906,0,2.11437,0,2.12906,0,,
1.56405,1531400,1.56405,1494380,1.56405,5606070,2.55488,0,2.53724,0,2.55488,0,,
1.56369,1603660,1.56369,1537270,1.56369,5316300,2.98069,0,2.96012,0,2.98069,0,,
1.56332,1608660,1.56332,1551330,1.56332,5002660,3.4065,0,3.38299,0,3.4065,0,,
1.56296,1590200,1.56296,1552990,1.56296,4751980,3.83232,0,3.80587,0,3.83232,0,,
1.5626,1687530,1.5626,1628560,1.5626,4524720,4.25813,0,4.22874,0,4.25813,0,,
1.56223,1887050,1.56223,1785430,1.56223,4149760,4.68394,0,4.65161,0,4.68394,0,,
1.56187,2050220,1.56187,1939420,1.56187,3515750,5.10975,0,5.07449,0,5.10975,0,,
1.56151,2159410,1.56151,2065230,1.56151,2782520,5.53557,0,5.49736,0,5.53557,0,,
1.56115,2335420,1.56115,2232670,1.56115,2476280,5.96138,0,5.92024,0,5.96138,0,,
1.56078,2608720,1.56078,2471540,1.56078,2908090,6.38719,0,6.34311,0,6.38719,0,,
1.56042,2834510,1.56042,2695690,1.56042,3581400,6.81301,0,6.76598,0,6.81301,0,,
1.56006,2905970,1.56006,2823080,1.56006,4051980,7.23882,0,7.18886,0,7.23882,0,,
1.5597,2906740,1.5597,2889430,1.5597,4246470,7.66463,0,7.61173,0,7.66463,0,,
1.55934,2997790,1.55934,2992580,1.55934,4309310,8.09044,0,8.03461,0,8.09044,0,,
1.55897,3160750,1.55897,3135550,1.55897,4398280,8.51626,0,8.45748,0,8.51626,0,,
1.55861,3231300,1.55861,3221920,1.55861,4524650,8.94207,0,8.88035,0,8.94207,0,,
1.55825,3183020,1.55825,3223840,1.55825,4586790,9.36788,0,9.30323,0,9.36788,0,,
1.55789,3203930,1.55789,3253250,1.55789,4516940,9.7937,0,9.7261,0,9.7937,0,,
1.55753,3409230,1.55753,3401480,1.55753,4345140,10.2195,0,10.149,0,10.2195,0,,
1.55717,3621640,1.55717,3576700,1.55717,4144360,10.6453,0,10.5718,0,10.6453,0,,
1.55681,3656870,1.55681,3642810,1.55681,3941550,11.0711,0,10.9947,0,11.0711,0,,
1.55645,3623750,1.55645,3636640,1.55645,3703090,11.4969,0,11.4176,0,11.4969,0,,
1.55609,3790360,1.55609,3727800,1.55609,3406190,11.9228,0,11.8405,0,11.9228,0,,
1.55573,4118460,1.55573,3932760,1.55573,3091390,12.3486,0,12.2633,0,12.3486,0,,
1.55537,4267800,1.55537,4039310,1.55537,2814160,12.7744,0,12.6862,0,12.7744,0,,
