w_drop:E: Re(E) vs lambda, x=-9e-06(m), y=-4.8e-06(m), z=0(m) 

lambda(microns), Re(E)
1.56624, 1.6201e+006
1.56587, 1.63486e+006
1.56551, 1.56311e+006
1.56514, 1.52018e+006
1.56478, 1.56766e+006
1.56441, 1.59695e+006
1.56405, 1.52431e+006
1.56369, 1.44021e+006
1.56332, 1.47456e+006
1.56296, 1.55648e+006
1.5626, 1.55275e+006
1.56223, 1.52372e+006
1.56187, 1.64767e+006
1.56151, 1.89088e+006
1.56115, 2.07533e+006
1.56078, 2.19732e+006
1.56042, 2.42246e+006
1.56006, 2.77628e+006
1.5597, 3.06409e+006
1.55934, 3.15992e+006
1.55897, 3.17691e+006
1.55861, 3.3091e+006
1.55825, 3.51437e+006
1.55789, 3.58245e+006
1.55753, 3.49091e+006
1.55717, 3.49175e+006
1.55681, 3.7341e+006
1.55645, 3.97503e+006
1.55609, 3.96587e+006
1.55573, 3.84251e+006
1.55537, 3.97243e+006
1.55501, 4.32313e+006
1.55465, 4.43858e+006
1.55429, 4.10514e+006
1.55393, 3.72221e+006
1.55357, 3.91661e+006
1.55321, 4.39624e+006
1.55286, 4.30223e+006
1.5525, 3.2074e+006
1.55214, 1.40255e+006
1.55178, 1.62935e+006
1.55142, 3.41562e+006
1.55107, 4.36361e+006
1.55071, 4.22437e+006
1.55035, 3.47073e+006
1.54999, 3.17177e+006
1.54964, 3.69245e+006
1.54928, 4.1368e+006
1.54892, 4.09129e+006
1.54857, 3.99501e+006
1.54821, 4.42372e+006
1.54785, 5.07328e+006
1.5475, 5.23777e+006
1.54714, 4.58979e+006
1.54678, 3.26706e+006
1.54643, 1.71783e+006
1.54607, 683649
1.54572, 1.03824e+006
1.54536, 1.45819e+006
1.54501, 1.71702e+006
1.54465, 1.93402e+006
1.5443, 2.05647e+006
1.54394, 2.05773e+006
1.54359, 2.07374e+006
1.54324, 2.2052e+006
1.54288, 2.33982e+006
1.54253, 2.36672e+006
1.54217, 2.37143e+006
1.54182, 2.49491e+006
1.54147, 2.67546e+006
1.54111, 2.74965e+006
1.54076, 2.71271e+006
1.54041, 2.71701e+006
1.54006, 2.81436e+006
1.5397, 2.85488e+006
1.53935, 2.73289e+006
1.539, 2.55631e+006
1.53865, 2.49549e+006
1.53829, 2.5094e+006
1.53794, 2.4861e+006
1.53759, 2.60481e+006
1.53724, 3.1632e+006
1.53689, 4.01984e+006
1.53654, 4.81174e+006
1.53619, 5.37565e+006
1.53584, 5.77842e+006
1.53548, 6.10784e+006
1.53513, 6.29537e+006
1.53478, 6.22237e+006
1.53443, 5.95992e+006
1.53408, 5.78663e+006
1.53373, 5.84893e+006
1.53338, 5.93339e+006
1.53303, 5.8149e+006
1.53269, 5.64043e+006
1.53234, 5.75844e+006
1.53199, 6.12071e+006
1.53164, 6.28816e+006
1.53129, 6.09455e+006
1.53094, 5.96651e+006


